EDAD;Gender;Education Level;Job Title;AÑOS EXP;Salario;Class;Salary;Years of Experience;Age
25;Male;Bachelor's;Sales Representative;0;350;Muy Bajo;De 0 a 51000;De 0 a 7;Menor o igual a 25
25;Female;Bachelor's;Data Entry Clerk;0;500,00;Muy Bajo;De 0 a 51000;De 0 a 7;Menor o igual a 25
25;Male;Bachelor's;Help Desk Analyst;0;550,00;Muy Bajo;De 0 a 51000;De 0 a 7;Menor o igual a 25
26;Male;Bachelor's;Junior Accountant;1;579,00;Muy Bajo;De 0 a 51000;De 0 a 7;De 26 a 33 años
26;Male;Bachelor's;Junior Software Developer;1;25000,00;Muy Bajo;De 0 a 51000;De 0 a 7;De 26 a 33 años
23;Female;Bachelor's;Junior Marketing Analyst;5;25000,00;Muy Bajo;De 0 a 51000;De 0 a 7;Menor o igual a 25
27;Male;Bachelor's;Junior Sales Representative;1;25000,00;Muy Bajo;De 0 a 51000;De 0 a 7;De 26 a 33 años
26;Male;Bachelor's;Junior Customer Support Specialist;2;25000,00;Muy Bajo;De 0 a 51000;De 0 a 7;De 26 a 33 años
27;Male;Bachelor's;Junior Business Development Associate;15;25000,00;Muy Bajo;De 0 a 51000;De 15 a 21;De 26 a 33 años
27;Male;Bachelor's;Customer Service Rep;2;25000,00;Muy Bajo;De 0 a 51000;De 0 a 7;De 26 a 33 años
24;Male;Bachelor's;Junior Developer;1;25000,00;Muy Bajo;De 0 a 51000;De 0 a 7;Menor o igual a 25
26;Female;Bachelor's;Customer Success Rep;1;25000,00;Muy Bajo;De 0 a 51000;De 0 a 7;De 26 a 33 años
28;Female;Bachelor's;Copywriter;2;25000,00;Muy Bajo;De 0 a 51000;De 0 a 7;De 26 a 33 años
28;Male;Bachelor's;Technical Support Specialist;2;25000,00;Muy Bajo;De 0 a 51000;De 0 a 7;De 26 a 33 años
29;Female;Bachelor's;Junior Designer;2;25000,00;Muy Bajo;De 0 a 51000;De 0 a 7;De 26 a 33 años
29;Female;Bachelor's;Sales Associate;3;25000,00;Muy Bajo;De 0 a 51000;De 0 a 7;De 26 a 33 años
28;Male;Bachelor's;Customer Success Manager;2;25000,00;Muy Bajo;De 0 a 51000;De 0 a 7;De 26 a 33 años
26;Male;Bachelor's;Junior Accountant;2;25000,00;Muy Bajo;De 0 a 51000;De 0 a 7;De 26 a 33 años
28;Male;Bachelor's;Junior Business Analyst;2;25000,00;Muy Bajo;De 0 a 51000;De 0 a 7;De 26 a 33 años
